iter	Passed	Remaining
0	1	190
1	3	156
2	4	134
3	5	124
4	6	123
5	7	120
6	8	118
7	12	148
8	14	149
9	15	142
10	16	136
11	17	130
12	18	125
13	19	120
14	20	116
15	21	113
16	22	110
17	23	107
18	24	105
19	26	104
20	27	103
21	29	103
22	30	100
23	31	98
24	32	96
25	33	94
26	34	92
27	35	90
28	36	89
29	37	87
30	38	85
31	39	84
32	41	84
33	42	83
34	43	81
35	45	80
36	46	78
37	47	76
38	48	75
39	49	74
40	50	72
41	50	70
42	51	68
43	52	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	50
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	84	36
70	85	34
71	87	33
72	88	32
73	89	31
74	90	30
75	90	28
76	92	27
77	93	26
78	94	24
79	95	23
80	95	22
81	97	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
